./sld: /lib64/libc.so.6: version `GLIBC_2.14' not found (required by ./sld)
inputs=2927 keys=5854 outputs=1965 gates=87131
iteration: 1; vars: 531109; clauses: 212921; decisions: 2947459
iteration: 2; vars: 701301; clauses: 178904; decisions: 4508852
iteration: 3; vars: 871493; clauses: 175889; decisions: 5405088
iteration: 4; vars: 1041685; clauses: 173032; decisions: 5435136
iteration: 5; vars: 1211877; clauses: 171078; decisions: 5604959
iteration: 6; vars: 1382069; clauses: 599059; decisions: 6570110
iteration: 7; vars: 1552261; clauses: 165587; decisions: 6639009
iteration: 8; vars: 1722453; clauses: 162707; decisions: 6696811
iteration: 9; vars: 1892645; clauses: 162385; decisions: 7269564
iteration: 10; vars: 2062837; clauses: 162015; decisions: 8912836
iteration: 11; vars: 2233029; clauses: 161062; decisions: 9508377
iteration: 12; vars: 2403221; clauses: 160543; decisions: 9587423
iteration: 13; vars: 2573413; clauses: 159997; decisions: 9688151
iteration: 14; vars: 2743605; clauses: 158428; decisions: 9743154
iteration: 15; vars: 2913797; clauses: 158304; decisions: 10097059
iteration: 16; vars: 3083989; clauses: 158015; decisions: 10314368
iteration: 17; vars: 3254181; clauses: 157069; decisions: 10346904
iteration: 18; vars: 3424373; clauses: 156466; decisions: 10400823
iteration: 19; vars: 3594565; clauses: 155556; decisions: 11506153
iteration: 20; vars: 3764757; clauses: 154116; decisions: 11704432
iteration: 21; vars: 3934949; clauses: 153874; decisions: 12074587
iteration: 22; vars: 4105141; clauses: 153382; decisions: 12322323
iteration: 23; vars: 4275333; clauses: 152237; decisions: 12502140
iteration: 24; vars: 4445525; clauses: 151607; decisions: 12823380
iteration: 25; vars: 4615717; clauses: 151007; decisions: 12847085
iteration: 26; vars: 4785909; clauses: 577013; decisions: 15005709
iteration: 27; vars: 4956101; clauses: 150450; decisions: 15280428
iteration: 28; vars: 5126293; clauses: 150163; decisions: 15307649
iteration: 29; vars: 5296485; clauses: 149544; decisions: 15742205
iteration: 30; vars: 5466677; clauses: 148192; decisions: 16221837
iteration: 31; vars: 5636869; clauses: 147894; decisions: 16768446
iteration: 32; vars: 5807061; clauses: 146657; decisions: 17205530
iteration: 33; vars: 5977253; clauses: 144896; decisions: 17919767
iteration: 34; vars: 6147445; clauses: 144709; decisions: 18546541
iteration: 35; vars: 6317637; clauses: 142995; decisions: 19790522
iteration: 36; vars: 6487829; clauses: 139834; decisions: 19885124
iteration: 37; vars: 6658021; clauses: 137809; decisions: 21506480
iteration: 38; vars: 6828213; clauses: 129013; decisions: 25017313
