inputs=6996 keys=13992 outputs=5585 gates=109767
iteration: 1; vars: 674352; clauses: 238089; decisions: 1457940
iteration: 2; vars: 881890; clauses: 237503; decisions: 2630113
iteration: 3; vars: 1089428; clauses: 246840; decisions: 4031853
iteration: 4; vars: 1296966; clauses: 242454; decisions: 4227424
iteration: 5; vars: 1504504; clauses: 236792; decisions: 4525174
iteration: 6; vars: 1712042; clauses: 227622; decisions: 4716143
iteration: 7; vars: 1919580; clauses: 226853; decisions: 4986290
iteration: 8; vars: 2127118; clauses: 226637; decisions: 5293550
iteration: 9; vars: 2334656; clauses: 225730; decisions: 8366047
iteration: 10; vars: 2542194; clauses: 224374; decisions: 8492671
iteration: 11; vars: 2749732; clauses: 224304; decisions: 8792969
iteration: 12; vars: 2957270; clauses: 224056; decisions: 9248942
iteration: 13; vars: 3164808; clauses: 223037; decisions: 9294314
iteration: 14; vars: 3372346; clauses: 222919; decisions: 9669984
iteration: 15; vars: 3579884; clauses: 222887; decisions: 9951089
iteration: 16; vars: 3787422; clauses: 222617; decisions: 10121397
iteration: 17; vars: 3994960; clauses: 222450; decisions: 10151181
iteration: 18; vars: 4202498; clauses: 222163; decisions: 10538214
iteration: 19; vars: 4410036; clauses: 221969; decisions: 10650067
iteration: 20; vars: 4617574; clauses: 222054; decisions: 10692826
iteration: 21; vars: 4825112; clauses: 221899; decisions: 11216275
iteration: 22; vars: 5032650; clauses: 221871; decisions: 11655776
iteration: 23; vars: 5240188; clauses: 221862; decisions: 11757743
iteration: 24; vars: 5447726; clauses: 221853; decisions: 11880191
iteration: 25; vars: 5655264; clauses: 221745; decisions: 15094964
iteration: 26; vars: 5862802; clauses: 221745; decisions: 17806338
iteration: 27; vars: 6070340; clauses: 221434; decisions: 17894235
iteration: 28; vars: 6277878; clauses: 221281; decisions: 33399310
iteration: 29; vars: 6485416; clauses: 221087; decisions: 33474299
iteration: 30; vars: 6692954; clauses: 220860; decisions: 38668337
iteration: 31; vars: 6900492; clauses: 220488; decisions: 38705471
iteration: 32; vars: 7108030; clauses: 220433; decisions: 38792747
iteration: 33; vars: 7315568; clauses: 220255; decisions: 42598296
iteration: 34; vars: 7523106; clauses: 220039; decisions: 42648976
iteration: 35; vars: 7730644; clauses: 220182; decisions: 42920201
iteration: 36; vars: 7938182; clauses: 220071; decisions: 43131447
iteration: 37; vars: 8145720; clauses: 219570; decisions: 43211423
iteration: 38; vars: 8353258; clauses: 219225; decisions: 43272456
iteration: 39; vars: 8560796; clauses: 219330; decisions: 43307095
iteration: 40; vars: 8768334; clauses: 218767; decisions: 43340376
iteration: 41; vars: 8975872; clauses: 218511; decisions: 43367170
iteration: 42; vars: 9183410; clauses: 218498; decisions: 43402177
iteration: 43; vars: 9390948; clauses: 218451; decisions: 43428282
iteration: 44; vars: 9598486; clauses: 218384; decisions: 43456356
iteration: 45; vars: 9806024; clauses: 218371; decisions: 43796930
iteration: 46; vars: 10013562; clauses: 217977; decisions: 46322169
iteration: 47; vars: 10221100; clauses: 217428; decisions: 46365891
iteration: 48; vars: 10428638; clauses: 217184; decisions: 46397616
iteration: 49; vars: 10636176; clauses: 217112; decisions: 46996326
iteration: 50; vars: 10843714; clauses: 216871; decisions: 47442920
iteration: 51; vars: 11051252; clauses: 216084; decisions: 47474610
iteration: 52; vars: 11258790; clauses: 214865; decisions: 47921444
iteration: 53; vars: 11466328; clauses: 214760; decisions: 48509831
iteration: 54; vars: 11673866; clauses: 214577; decisions: 48709372
iteration: 55; vars: 11881404; clauses: 214382; decisions: 48785473
iteration: 56; vars: 12088942; clauses: 214372; decisions: 48880841
iteration: 57; vars: 12296480; clauses: 214356; decisions: 49319365
iteration: 58; vars: 12504018; clauses: 214287; decisions: 49360887
iteration: 59; vars: 12711556; clauses: 214126; decisions: 49470628
iteration: 60; vars: 12919094; clauses: 213954; decisions: 50047328
iteration: 61; vars: 13126632; clauses: 213927; decisions: 50144667
